PRECINCT,YEAR,RACE,PRECINCT_TURNOUT,PRECINCT_DEM,ALL_TURNOUT,ALL_DEM
9,2020,President,0.7565044056217562,0.9435322566611065,0.79,0.9267225408028231
9,2021,Governor,0.5961635975668171,0.8488228332303234,0.62,0.8313795903429819
9,2022,House,0.5200141429555055,0.8171342685370742,0.56,0.7904513531443735
10,2017,Governor,0.531786925946801,0.8233765626879188,0.59,0.8240047490974292
10,2018,US Senate,0.658771823571853,0.8685495783865086,0.71,0.8602390375334327
10,2019,VA Senate,0.2983952949427926,1.0,0.37,0.9617854594466028
10,2020,President,0.8682943377033409,0.9427509111974988,0.79,0.9267225408028231
10,2021,Governor,0.5593722922690237,0.8642975108863121,0.62,0.8313795903429819
10,2022,House,0.5102510853674073,0.7993786063027075,0.56,0.7904513531443735
11,2017,Governor,0.6705471121989708,0.7923336234997652,0.59,0.8240047490974292
11,2018,US Senate,0.7752172263078669,0.8317147717923691,0.71,0.8602390375334327
11,2019,VA Senate,0.5021864474704963,0.8385384010621958,0.37,0.9617854594466028
11,2020,President,0.8689065034016822,0.9038490648282111,0.79,0.9267225408028231
11,2021,Governor,0.7325248110862981,0.8128267297845423,0.62,0.8313795903429819
11,2022,House,0.6779774621926188,0.7750865051903114,0.56,0.7904513531443735
12,2017,Governor,0.7216895183553885,0.7965574466417652,0.59,0.8240047490974292
12,2018,US Senate,0.8190514282495575,0.8572586318655424,0.71,0.8602390375334327
12,2019,VA Senate,0.44196526432742583,1.0,0.37,0.9617854594466028
12,2020,President,0.7998675218113074,0.8995813961465949,0.79,0.9267225408028231
12,2021,Governor,0.7891366923890232,0.8124329702411623,0.62,0.8313795903429819
12,2022,House,0.6877274551316644,0.7966197183098591,0.56,0.7904513531443735
13,2017,Governor,0.5862275145212482,0.8291695846151163,0.59,0.8240047490974292
13,2018,US Senate,0.6854249361138105,0.8432010845672538,0.71,0.8602390375334327
13,2019,VA Senate,0.3733162515044051,1.0,0.37,0.9617854594466028
13,2020,President,0.7269339204400485,0.8726868678917254,0.79,0.9267225408028231
13,2021,Governor,0.5992290541744881,0.8028070601880679,0.62,0.8313795903429819
13,2022,House,0.5291861770875267,0.7739910313901345,0.56,0.7904513531443735
14,2017,Governor,0.5808205282691378,0.8465192011844623,0.59,0.8240047490974292
14,2018,US Senate,0.7091814621871854,0.8666947254494091,0.71,0.8602390375334327
14,2019,VA Senate,0.3311990046541653,1.0,0.37,0.9617854594466028
14,2020,President,0.7938398001588889,0.9306568969512138,0.79,0.9267225408028231
14,2021,Governor,0.6199654654805098,0.8485179293903087,0.62,0.8313795903429819
14,2022,House,0.5753959578750575,0.8143800440205429,0.56,0.7904513531443735
15,2017,Governor,0.5892716494143041,0.8313881895850317,0.59,0.8240047490974292
15,2018,US Senate,0.6673381347541087,0.8541989606812258,0.71,0.8602390375334327
15,2019,VA Senate,0.35936330476787404,1.0,0.37,0.9617854594466028
15,2020,President,0.7567820033691478,0.9096498925932741,0.79,0.9267225408028231
15,2021,Governor,0.6090181640636125,0.8181069492169749,0.62,0.8313795903429819
15,2022,House,0.57212385064405,0.8020100502512563,0.56,0.7904513531443735
16,2017,Governor,0.615292866699929,0.824896099138539,0.59,0.8240047490974292
16,2018,US Senate,0.7097574588116765,0.8740506870818363,0.71,0.8602390375334327
16,2019,VA Senate,0.343398220957501,1.0,0.37,0.9617854594466028
16,2020,President,0.9307132287755538,0.9468444226693483,0.79,0.9267225408028231
16,2021,Governor,0.6527481651472326,0.8436561022152148,0.62,0.8313795903429819
16,2022,House,0.6051101077355282,0.7873704982733103,0.56,0.7904513531443735
17,2017,Governor,0.6672639975402243,0.8140042224102829,0.59,0.8240047490974292
17,2018,US Senate,0.7784294463677044,0.8575390663261673,0.71,0.8602390375334327
17,2019,VA Senate,0.5163294351746027,0.8439677687863013,0.37,0.9617854594466028
17,2020,President,0.9704877684398716,0.9329093663582974,0.79,0.9267225408028231
17,2021,Governor,0.765201372796446,0.8263940871232027,0.62,0.8313795903429819
17,2022,House,0.6801734491916794,0.7999071494893222,0.56,0.7904513531443735
18,2017,Governor,0.484980848925138,0.8433263640086569,0.59,0.8240047490974292
18,2018,US Senate,0.6207960619609099,0.8777058022815468,0.71,0.8602390375334327
18,2019,VA Senate,0.26430738391247427,1.0,0.37,0.9617854594466028
18,2020,President,0.8112330589654668,0.9554375213553589,0.79,0.9267225408028231
18,2021,Governor,0.5523835673818196,0.8625287993448462,0.62,0.8313795903429819
18,2022,House,0.507558573526933,0.806234502302515,0.56,0.7904513531443735
19,2017,Governor,0.5197191799595339,0.847105119238404,0.59,0.8240047490974292
19,2018,US Senate,0.6506747826034099,0.8756889338392148,0.71,0.8602390375334327
19,2019,VA Senate,0.2731156945765354,1.0,0.37,0.9617854594466028
19,2020,President,0.7968930189889111,0.9439406955464849,0.79,0.9267225408028231
19,2021,Governor,0.5444856510615548,0.8583918197413388,0.62,0.8313795903429819
19,2022,House,0.4754892660346449,0.8154733301297453,0.56,0.7904513531443735
20,2017,Governor,0.7054175292772914,0.7613680385033592,0.59,0.8240047490974292
20,2018,US Senate,0.7893287690695416,0.8257227699598126,0.71,0.8602390375334327
